model_name,track,pretrained_model,L1,component_order,batch_size,epochs,pred_head,layer_pool,token_pool,last_k_layer,num_heads
xlm-base_mlp_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,,,
xlm-base_mlp_ScalarMix_cls_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,cls,,
xlm-base_mlp_ScalarMix_cls_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,cls,,4
xlm-base_mlp_ScalarMix_cls_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,cls,4,
xlm-base_mlp_ScalarMix_cls_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,cls,4,4
xlm-base_mlp_Mean_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,,,
xlm-base_mlp_Mean_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,,,4
xlm-base_mlp_Mean_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,,4,
xlm-base_mlp_Mean_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,,4,4
xlm-base_mlp_Mean_mha_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mha,,
xlm-base_mlp_Mean_mha_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mha,,4
xlm-base_mlp_Mean_mha_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mha,4,
xlm-base_mlp_Mean_mha_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mha,4,4
xlm-base_mlp_Mean_mean_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mean,,
xlm-base_mlp_Mean_mean_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mean,,4
xlm-base_mlp_Mean_mean_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mean,4,
xlm-base_mlp_Mean_mean_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mean,4,4
xlm-base_mlp_Mean_cls_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,cls,,
xlm-base_mlp_Mean_cls_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,cls,,4
xlm-base_mlp_Mean_cls_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,cls,4,
xlm-base_mlp_Mean_cls_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,cls,4,4
xlm-base_mlp_Max_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,,,
xlm-base_mlp_Max_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,,,4
xlm-base_mlp_Max_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,,4,
xlm-base_mlp_Max_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,,4,4
xlm-base_mlp_Max_mha_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mha,,
xlm-base_mlp_Max_mha_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mha,,4
xlm-base_mlp_Max_mha_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mha,4,
xlm-base_mlp_Max_mha_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mha,4,4
xlm-base_mlp_Max_mean_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mean,,
xlm-base_mlp_Max_mean_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mean,,4
xlm-base_mlp_Max_mean_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mean,4,
xlm-base_mlp_Max_mean_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mean,4,4
xlm-base_mlp_Max_cls_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,cls,,
xlm-base_mlp_Max_cls_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,cls,,4
xlm-base_mlp_Max_cls_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,cls,4,
xlm-base_mlp_Max_cls_4_4_xx,open,xlm-roberta-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,cls,4,4
mbert-base_mlp_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,,,
mbert-base_mlp_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,,,4
mbert-base_mlp_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,,4,
mbert-base_mlp_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,,4,4
mbert-base_mlp_mha_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mha,,
mbert-base_mlp_mha_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mha,,4
mbert-base_mlp_mha_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mha,4,
mbert-base_mlp_mha_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mha,4,4
mbert-base_mlp_mean_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mean,,
mbert-base_mlp_mean_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mean,,4
mbert-base_mlp_mean_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mean,4,
mbert-base_mlp_mean_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,mean,4,4
mbert-base_mlp_cls_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,cls,,
mbert-base_mlp_cls_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,cls,,4
mbert-base_mlp_cls_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,cls,4,
mbert-base_mlp_cls_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,,cls,4,4
mbert-base_mlp_ScalarMix_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,,,
mbert-base_mlp_ScalarMix_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,,,4
mbert-base_mlp_ScalarMix_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,,4,
mbert-base_mlp_ScalarMix_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,,4,4
mbert-base_mlp_ScalarMix_mha_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mha,,
mbert-base_mlp_ScalarMix_mha_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mha,,4
mbert-base_mlp_ScalarMix_mha_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mha,4,
mbert-base_mlp_ScalarMix_mha_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mha,4,4
mbert-base_mlp_ScalarMix_mean_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mean,,
mbert-base_mlp_ScalarMix_mean_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mean,,4
mbert-base_mlp_ScalarMix_mean_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mean,4,
mbert-base_mlp_ScalarMix_mean_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,mean,4,4
mbert-base_mlp_ScalarMix_cls_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,cls,,
mbert-base_mlp_ScalarMix_cls_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,cls,,4
mbert-base_mlp_ScalarMix_cls_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,cls,4,
mbert-base_mlp_ScalarMix_cls_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,ScalarMix,cls,4,4
mbert-base_mlp_Mean_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,,,
mbert-base_mlp_Mean_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,,,4
mbert-base_mlp_Mean_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,,4,
mbert-base_mlp_Mean_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,,4,4
mbert-base_mlp_Mean_mha_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mha,,
mbert-base_mlp_Mean_mha_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mha,,4
mbert-base_mlp_Mean_mha_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mha,4,
mbert-base_mlp_Mean_mha_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mha,4,4
mbert-base_mlp_Mean_mean_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mean,,
mbert-base_mlp_Mean_mean_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mean,,4
mbert-base_mlp_Mean_mean_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mean,4,
mbert-base_mlp_Mean_mean_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,mean,4,4
mbert-base_mlp_Mean_cls_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,cls,,
mbert-base_mlp_Mean_cls_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,cls,,4
mbert-base_mlp_Mean_cls_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,cls,4,
mbert-base_mlp_Mean_cls_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Mean,cls,4,4
mbert-base_mlp_Max_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,,,
mbert-base_mlp_Max_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,,,4
mbert-base_mlp_Max_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,,4,
mbert-base_mlp_Max_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,,4,4
mbert-base_mlp_Max_mha_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mha,,
mbert-base_mlp_Max_mha_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mha,,4
mbert-base_mlp_Max_mha_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mha,4,
mbert-base_mlp_Max_mha_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mha,4,4
mbert-base_mlp_Max_mean_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mean,,
mbert-base_mlp_Max_mean_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mean,,4
mbert-base_mlp_Max_mean_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mean,4,
mbert-base_mlp_Max_mean_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,mean,4,4
mbert-base_mlp_Max_cls_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,cls,,
mbert-base_mlp_Max_cls_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,cls,,4
mbert-base_mlp_Max_cls_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,cls,4,
mbert-base_mlp_Max_cls_4_4_xx,open,jhu-clsp/mmBERT-base,xx,L1_source_word; L1_context; en_target_clue; en_target_word,32,5,mlp,Max,cls,4,4
